regime,bin,size,count
critical,0,1.4,960
critical,1,2.8,812
critical,2,5.7,851
critical,3,11.3,738
critical,4,22.6,672
critical,5,45.3,682
critical,6,90.5,786
critical,7,181.0,1026
critical,8,362.0,1276
critical,9,724.1,1165
critical,10,1448.2,862
critical,11,2896.3,478
critical,12,5792.6,316
critical,13,11585.2,195
critical,14,23170.5,134
critical,15,46341.0,44
critical,16,92681.9,10
critical,17,185363.8,1
driven,0,1.4,60753
driven,1,2.8,54387
driven,2,5.7,61010
driven,3,11.3,62048
driven,4,22.6,62284
driven,5,45.3,59283
driven,6,90.5,48922
driven,7,181.0,26505
driven,8,362.0,6431
driven,9,724.1,397
driven,10,1448.2,5
