t,gini,population,meanWealth
0,0.0000,0,0.000
4,0.3274,366,14.790
8,0.3751,310,17.835
12,0.3687,263,23.046
16,0.3934,249,27.249
20,0.3967,235,32.455
24,0.3795,220,38.891
28,0.3795,215,44.414
32,0.3906,215,49.135
36,0.3995,215,53.940
40,0.4063,215,58.851
44,0.4119,215,63.865
48,0.4164,215,68.967
52,0.4203,215,74.107
56,0.4236,215,79.270
60,0.4260,215,84.553
64,0.4277,215,89.940
68,0.4291,215,95.391
72,0.4302,215,100.870
76,0.4312,215,106.395
80,0.4318,215,111.949
84,0.4323,215,117.540
88,0.4327,215,123.172
92,0.4331,215,128.805
96,0.4335,215,134.451
100,0.4336,215,140.153
104,0.4308,214,146.603
108,0.4307,214,152.421
112,0.4305,214,158.262
116,0.4301,214,164.178
120,0.4296,214,170.126
124,0.4291,214,176.098
128,0.4286,214,182.098
132,0.4281,214,188.103
136,0.4276,214,194.136
140,0.4269,214,200.215
144,0.4262,214,206.304
148,0.4256,214,212.435
152,0.4249,214,218.570
156,0.4243,214,224.734
160,0.4236,214,230.939
164,0.4230,214,237.178
168,0.4223,214,243.411
172,0.4218,214,249.668
176,0.4210,214,255.977
180,0.4203,214,262.313
184,0.4195,214,268.673
188,0.4188,214,275.033
192,0.4182,214,281.402
196,0.4175,214,287.771
200,0.4169,214,294.145
204,0.4164,214,300.514
208,0.4158,214,306.888
212,0.4153,214,313.271
216,0.4148,214,319.673
220,0.4142,214,326.093
224,0.4137,214,332.523
228,0.4132,214,338.981
232,0.4126,214,345.449
236,0.4121,214,351.925
240,0.4116,214,358.411
244,0.4112,214,364.897
248,0.4107,214,371.383
252,0.4103,214,377.855
256,0.4099,214,384.327
260,0.4096,214,390.799
264,0.4092,214,397.271
268,0.4089,214,403.738
272,0.4084,214,410.248
276,0.4081,214,416.766
280,0.4077,214,423.290
284,0.4074,214,429.804
288,0.4071,214,436.327
292,0.4067,214,442.864
296,0.4063,214,449.383
300,0.4060,214,455.893
304,0.4056,214,462.393
308,0.4053,214,468.902
312,0.4049,214,475.421
316,0.4046,214,481.930
320,0.4043,214,488.444
324,0.4039,214,494.995
328,0.4036,214,501.537
332,0.4033,214,508.093
336,0.4030,214,514.640
340,0.4027,214,521.220
344,0.4024,214,527.799
348,0.4021,214,534.365
352,0.4018,214,540.925
356,0.4015,214,547.486
360,0.4013,214,554.056
364,0.4010,214,560.631
368,0.4008,214,567.224
372,0.4005,214,573.822
376,0.4002,214,580.430
380,0.4000,214,587.047
384,0.3997,214,593.664
388,0.3995,214,600.280
392,0.3992,214,606.911
396,0.3990,214,613.533
400,0.3988,214,620.150
